nhom_chinh,so_la_ma,nhom_phu,tt,role,ten_goc,ten_sach,ma_ky_hieu,gia_tri_1000d
,,NGÀNH DOANH TRẠI,,NHOM_PHU,NGÀNH DOANH TRẠI,NGÀNH DOANH TRẠI,,24745087.74
DOANH CỤ,I,,I,NHOM_CHINH,DOANH CỤ,DOANH CỤ,,16963089
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,,NHOM_PHU,Doanh cụ theo thiết kế mẫu,Doanh cụ theo thiết kế mẫu,,1036860
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,1,MAT_HANG_CO_MA,Tủ áo gỗ 3 buồng (Ký hiệu TA3B-Go-2016-TCHC),Tủ áo gỗ 3 buồng,TA3B-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,2,MAT_HANG_CO_MA,Tủ áo gỗ 2 buồng (TA2B-Go-2016-TCHC),Tủ áo gỗ 2 buồng,TA2B-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,3,MAT_HANG_CO_MA,Bàn làm việc cấp chỉ huy cấp Tiểu đoàn (BLVCHd-Go-2016-TCHC),Bàn làm việc cấp chỉ huy cấp Tiểu đoàn,BLVCHd-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,4,MAT_HANG_CO_MA,Bàn làm việc trợ lý (BTL-Go-2016-TCHC),Bàn làm việc trợ lý,BTL-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,5,MAT_HANG_CO_MA,"Bàn họp giao ban cấp Đại đội, Tiểu đoàn (BGBcd-Go-2016-TCHC)","Bàn họp giao ban cấp Đại đội, Tiểu đoàn",BGBcd-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,6,MAT_HANG_CO_MA,Bàn hội trường (BHT-Go-2016-TCHC),Bàn hội trường,BHT-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,7,MAT_HANG_CO_MA,Ghế trợ lý (GTL-Go-2016-TCHC),Ghế trợ lý,GTL-Go-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,8,MAT_HANG_CO_MA,"Giường gỗ cán bộ 1,2 m (GCB-Go-2016-TCHC)","Giường gỗ cán bộ 1,2 m",GCB-Go-2016-TCHC,617500
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,9,MAT_HANG_CO_MA,Giường sắt 1 tầng (GCS1T-Sa-2016-TCHC),Giường sắt 1 tầng,GCS1T-Sa-2016-TCHC,0
DOANH CỤ,I,Doanh cụ theo thiết kế mẫu,10,MAT_HANG_CO_MA,Giường sắt 2 tầng (GCS2T-Sa-2016-TCHC),Giường sắt 2 tầng,GCS2T-Sa-2016-TCHC,419360
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),,NHOM_PHU,Doanh cụ khác (Thường xuyên),Doanh cụ khác (Thường xuyên),,15926229
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),1,MAT_HANG,Giường - phản,Giường - phản,,6222457
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),1,MAT_HANG,Phản nằm,Phản nằm,,720600
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),2,MAT_HANG,Giường ván (Ván +mễ),Giường ván (Ván +mễ),,0
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),3,MAT_HANG,Giường sắt 1 tầng,Giường sắt 1 tầng,,160050
