ma_ky_hieu,ten,nhom_chinh
TA3B-Go-2016-TCHC,Tủ áo gỗ 3 buồng,DOANH CỤ
TA2B-Go-2016-TCHC,Tủ áo gỗ 2 buồng,DOANH CỤ
BLVCHd-Go-2016-TCHC,Bàn làm việc cấp chỉ huy cấp Tiểu đoàn,DOANH CỤ
BTL-Go-2016-TCHC,Bàn làm việc trợ lý,DOANH CỤ
BGBcd-Go-2016-TCHC,"Bàn họp giao ban cấp Đại đội, Tiểu đoàn",DOANH CỤ
BHT-Go-2016-TCHC,Bàn hội trường,DOANH CỤ
GTL-Go-2016-TCHC,Ghế trợ lý,DOANH CỤ
GCB-Go-2016-TCHC,"Giường gỗ cán bộ 1,2 m",DOANH CỤ
GCS1T-Sa-2016-TCHC,Giường sắt 1 tầng,DOANH CỤ
GCS2T-Sa-2016-TCHC,Giường sắt 2 tầng,DOANH CỤ
