commune_code,commune_full_name,province_code,province_full_name,boundary_source_url
00004,Phường Ba Đình,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00004_ba_dinh.geojson
00008,Phường Ngọc Hà,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00008_ngoc_ha.geojson
00025,Phường Giảng Võ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00025_giang_vo.geojson
00070,Phường Hoàn Kiếm,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00070_hoan_kiem.geojson
00082,Phường Cửa Nam,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00082_cua_nam.geojson
00091,Phường Phú Thượng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00091_phu_thuong.geojson
00097,Phường Hồng Hà,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00097_hong_ha.geojson
00103,Phường Tây Hồ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00103_tay_ho.geojson
00118,Phường Bồ Đề,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00118_bo_de.geojson
00127,Phường Việt Hưng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00127_viet_hung.geojson
00136,Phường Phúc Lợi,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00136_phuc_loi.geojson
00145,Phường Long Biên,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00145_long_bien.geojson
00160,Phường Nghĩa Đô,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00160_nghia_do.geojson
00166,Phường Cầu Giấy,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00166_cau_giay.geojson
00175,Phường Yên Hoà,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00175_yen_hoa.geojson
00190,Phường Ô Chợ Dừa,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00190_o_cho_dua.geojson
00199,Phường Láng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00199_lang.geojson
00226,Phường Văn Miếu - Quốc Tử Giám,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00226_van_mieu_quoc_tu_giam.geojson
00229,Phường Kim Liên,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00229_kim_lien.geojson
00235,Phường Đống Đa,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00235_dong_da.geojson
00256,Phường Hai Bà Trưng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00256_hai_ba_trung.geojson
